;id;nome_pt-br;name_en-us
0;C0001C ;Abacate, polpa, in natura, Persea americana Mill, ; Avocado, pulp, raw 
1;C0195C ;Abacaxi, cozido, caramelado,  ; Pineapple, cooked, caramelized 
2;C0054C ;Abacaxi, polpa, congelada, Ananas comosus L., ; Pineapple, pulp, frozen 
3;C0264C ;Abacaxi, polpa, desidratada, Ananas comosus, ; Pineapple, pulp, dehydrated 
4;C0218C ;Abacaxi, polpa, grelhado, c/ canela,  ; Pineapple, pulp, grilled, with cinnamon 
5;C0002C ;Abacaxi, polpa, in natura, Ananas comosus L., ; Pineapple, pulp, raw 
6;C0069C ;Abiu, in natura, Lucuma caimito (Ruiz & Pav.) Roem & Schult, ; Brazilian fruit,´Abiu´, raw 
7;C0680B ;Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal,  ; Pumpkin, squash, cabotian, with okra, braised (with oil, onion and garlic, with salt 
8;C0059B ;Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal, Cucurbita maxima x Cucurbita moschata,  ; Pumpkin, Squash, cabotian (japonesa), peeled, boiled, drained, without oil, unsalted 
9;C0002B ;Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua, Cucurbita maxima x Cucurbita moschata,  ; Pumpkin, squash, cabotian (japonesa), peeled, seedless, raw 
10;C0003B ;Abóbora, menina brasileira, s/ casca, s/ sementes, crua, Cucurbita moschata, ; Pumpkin, squash, peeled, seedless, raw 
11;C0151B ;Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal,  ; Pumpkin, squash, braised (with oil, onion and garlic), with salt 
12;C0101B ;Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal, Cucurbita maxima, ; Pumpkin, squash, braised (with oil, onion and garlic), without salt 
13;C0270B ;Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal, Curcubita spp., ; Pumpkin, squash, peeled, cooked, with tomato sauce (tomato, with oil, onion and garlic), with parsley, with black pepper, with salt 
14;C0269B ;Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal, Curcubita spp., ; Pumpkin, squash, peeled, cooked, with tomato sauce (tomato, with oil, onion and garlic), with parsley, with black pepper, unsalted 
15;C0355B ;Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal,  ; Pumpkin, squash, peeled, seedless, roasted, without oil, with salt 
16;C0354B ;Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal,  ; Pumpkin, squash, peeled, seedless, roasted, without oil, unsalted 
